item_id,category,item_name,short_description,size_or_serving,regular_price_inr,offer_price_inr,customisable,vegetarian,menu_source,menu_source_url,retrieved_date
DSMW-001,Falooda,Oreo Falooda,Indulge in a delectable falooda loaded with delightful flavors and a crunchy surprise.,Standard serving (size not published),160,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-002,Falooda,Rose Falooda,A delightful and refreshing treat bursting with vibrant flavors and sweet aromas.,Standard serving (size not published),130,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-003,Falooda,Badam Falooda,Indulge in the lusciously creamy and delightful blend of flavors found in this scrumptious Badam Falooda.,Standard serving (size not published),180,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-004,Falooda,Dry Fruit Falooda,"Traditionally it is made by mixing rose syrup, vermicelli, and sweet basil seeds with milk, often served with ice cream and dry fruits.",Standard serving (size not published),180,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-005,Falooda,Chocolate Falooda,"A delectable vegetarian treat featuring rich chocolate flavors and creamy textures, the Chocolate Falooda is a must-try dessert experience.",Standard serving (size not published),140,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-006,Falooda,Pista Falooda,"A delightful veg creation in the Falooda category, enticing with its mouthwatering flavors and rich textures.",Standard serving (size not published),130,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-007,Falooda,Fruit Punch Falooda,"A refreshing and delightful fusion of flavors, blending fruits and traditional falooda for a delightful sweet treat.",Standard serving (size not published),180,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-008,Falooda,Kulfi Falooda,"A delightful and refreshing Indian dessert bursting with flavors and textures, perfect for a sweet treat.",Standard serving (size not published),180,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-009,Falooda,Mango Falooda,"A delightful blend of refreshing flavors, this indulgent dessert is a perfect combination of creamy, sweet, and fruity goodness.",Standard serving (size not published),150,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-010,Our Specials,Fruit Punch,A refreshing blend of vibrant fruits that bursts with sweet and tangy flavors to invigorate your taste buds.,Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-011,Our Specials,Organic Sapota Juice,Made of pure organic sapota grown in our own garden,Standard serving (size not published),150,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-012,Our Specials,Lemonade,"Refreshing and citrusy, this zesty creation will quench your thirst and leave you feeling rejuvenated.",Standard serving (size not published),35,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-013,Our Specials,Badam Milk,Indulge in a creamy and fragrant delight with our special Badam Milk.,Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-014,Our Specials,Pulpy Grape,"A luscious and refreshing creation bursting with natural fruit flavors, perfect for those seeking a delightful vegetarian option from our specials.",Standard serving (size not published),60,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-015,Our Specials,Rose Milk,"A luscious and refreshing treat of creamy and aromatic rose-infused milk, indulging the senses with its delicate flavors.",Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-016,Our Specials,Pista Milk,"Creamy and aromatic, our special is a delectable blend of smooth milk and rich pistachios that will leave your taste buds wanting more.",Standard serving (size not published),60,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-017,Our Specials,Badam Milk (500 ml),Indulge in the rich and creamy flavors of our special Badam Milk.,500 ml,150,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-018,Our Specials,Badam Milk (1000 ml),"Indulge in the creamy goodness of Our Specials - a delectable, velvety treat infused with the rich flavors of almond and milk.",1000 ml,270,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-019,Our Specials,Pulpy Grape ( 500 ml),"Indulge in the refreshing burst of Pulpy Grape, a luscious and unique addition to our Specials lineup!",500 ml,130,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-020,Our Specials,Pulpy Grape ( 1000 ml),Indulge in the refreshing blend of juicy and luscious grapes bursting with natural pulpy goodness in our Veg Specials.,1000 ml,200,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-021,Our Specials,Cold Coffee,A refreshing and creamy treat perfect for any time of the day.,Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
